Business Model,How it works?,Where it Comes from?,Examples,Who is it for?
Digitalisation,"This involves converting an existing physical product or service into an intangible digital variant. It makes offerings highly reliable and efficient, allowing processes to be relocated to the Internet (HOW?). It enables faster scaling and access to new customer groups (WHO?). The company can create new forms of content (WHAT?) and adopt new value-capturing mechanisms (VALUE?).",This model is relatively recent. Early electronic services appeared in the 1980s. The development of broadband Internet and GUIs in the 1990s catalyzed widespread digitalization.,"WXYC (1994): A college radio station that broadcast its programs over the Internet. Hotmail (1996): Offered webmail service, with the free basic account cross-financed by premium features. Amazon Kindle (2007): Digitalized reading content, enabling users to wirelessly buy and read e-books.","Ideal for data and knowledge-driven products, especially those that are time-critical (e.g., news). It is crucial for maximizing value proposition using Internet infrastructure. The convergence of physical and digital worlds suggests further potential."
Direct Selling,"The manufacturer sells products directly to the customer, bypassing intermediaries (HOW?). This eliminates the retail margin, which can be passed on to the customer (VALUE?). It enables a personal sales experience and helps the company better understand customer needs (WHAT?). It allows the company to maintain control over distribution (HOW?, VALUE?).","As one of the oldest distribution forms, modern iterations began with industrial goods. German company Vorwerk (1930s) pioneered modern Direct Selling for its vacuum cleaners.","Tupperware (1946): Introduced ""Tupperware parties,"" selling kitchenware through representatives at customers' homes. Hilti (1941): A successful B2B direct vendor where most employees are dedicated to sales, dealing personally with professional customers.","Applicable for any company seeking to cut out middlemen. It is effective when the increase in customer intimacy and process control is highly valuable, compensating for high sales costs. It helps control the entire sales process."
E-commerce,"Products are sold and delivered via online channels. Customers benefit from easy searching, price comparison, and convenience. E-commerce encompasses buying and selling electronically, plus customer service (WHAT?, HOW?). It enables global reach with minimal additional costs (VALUE?) and increases market transparency.","E-commerce has evolved over 60 years, beginning with electronic data transmission in the late 1940s. The widespread adoption of the internet facilitated the move toward consumer-facing platforms.",Amazon (1994): Revolutionized retail E-commerce. Asos (2000): A major online retailer for fashion. Alibaba Group (1999): Operates a digital ecosystem with B2B/B2C trading and payment services. Otto (2018): Innovating with AR through its YourHome app.,"This pattern is a fundamental tool for success today, especially in B2C retail. It is useful if you can reliably codify product information online. In B2B, it helps improve cost efficiency. It offers opportunities to exploit big data."
Experience Selling,The value of a standard product is augmented by an additional encompassing experience (WHAT?). The company actively shapes the customer's environment to differentiate itself (HOW?). Successful deployment leads to greater loyalty and increases willingness to pay higher prices (VALUE?).,The concept was popularized by Pine and Gilmore in 1998. Harley-Davidson (1903) successfully associated its brand with an emotional experience of freedom and adventure.,"Starbucks (1971): Created a unique ""third place"" experience. Red Bull (1987): Markets its drink by associating it with extreme sports. Amazon (2015, 2018): Uses Experience Selling in its physical stores by integrating digital services. NIO (2014): Built a lifestyle ecosystem (""NIO house"") around its electric cars.","Highly relevant for the retail industry and other sectors facing market saturation. It is useful for companies seeking to forge a direct, emotional bond with their customers and significantly differentiate their brand."
Flat Rate,Customers pay a single fixed lump sum for unlimited consumption of a product or service (WHAT?). The model is profitable if heavy users are balanced by those who use the service sparingly (VALUE?). The company benefits from a reliable revenue stream.,"The ""all you can eat"" concept (1946) is an early application. Swiss Federal Railways introduced an annual season ticket in 1898. Sandals Resorts (1981) pioneered ""all-inclusive"" vacation packages.","Netflix (1999): Offers unlimited streaming access for a fixed monthly fee. Spotify (2006): Combines Flat Rate with Freemium for ad-free, unlimited access. Sony PlayStation Now (2014): A monthly subscription for unlimited access to a library of games. Apple Arcade (2019): A game Flat Rate service.",Works well if the business has manageable marginal costs or if customers experience diminishing marginal utility with increased consumption. Appropriate if fixed billing is more cost-efficient than per-use billing.
Fractional Ownership,"Customers purchase only a part of a capital-intensive asset. This allows them to access expensive products they might otherwise be unable to afford (WHAT?). A management company often handles maintenance and reservations (HOW?). For the seller, this model opens access to a wider customer base, often resulting in higher total revenues (WHO?, VALUE?).",The roots are in collective farming in early 20th-century Russia. NetJets (1960s) pioneered the modern concept by selling fractional ownership of aircraft. The tourism industry popularized timeshares.,"Crowdhouse (2015) and Yielders (2016): Use fractional ownership for real estate investments. Masterworks (2017): Applies the model to high-value art masterpieces. Shared investments are growing for expensive, specialized machines in manufacturing.",This model is viable in industries involving capital-intensive assets where customers are willing to share usage rights. It is effective for opening up markets to customers who cannot afford the full asset price.
Franchising,"The franchisor sells independent entrepreneurs (franchisees) the right to use their proven business model. This allows the franchisor to expand rapidly with limited resources and risk (HOW?, VALUE?). Franchisees benefit from a successful brand and established processes (WHAT?). The franchisor generates revenue through fees and ongoing royalties.",Originated in medieval France. Singer Corporation (1851) used it to license sewing machine distribution. McDonald’s (1948) popularized it worldwide with its standardized fast-food concept.,"Subway (1974), KFC: Numerous restaurant chains use the model. Marriott International (1967): Manages and franchises hotel properties. Natur House (1992): Licenses its brand for dietary advice centers. Holcim Indonesia's Solusi Rumah (2006): Provides franchisees with a one-stop housing solution.","Recommended for companies with strong core assets (brand, know-how) that want to achieve rapid growth with limited risk. Success requires maintaining standardization and providing continuous support."
Freemium,"The offering is divided into a free, basic version (WHAT?) and a paid premium version. The free version attracts a large customer base. Revenue (VALUE?) is generated by customers who convert to the premium version. The cost of the basic product must be near zero, as premium users cross-subsidize free users (VALUE?).","The term was coined in 2006. It was enabled by the Internet, which allows products to be reproduced at virtually no cost. Early examples include Hotmail (1996).","Skype (2003): Offers free VoIP calls, monetizing via paid credits to landlines. Spotify (2006): Offers free, ad-supported streaming, with a premium subscription removing ads. Dropbox (2007): Offers limited free cloud storage, charging for expansion. YouTube Premium (2018): Provides an ad-free experience for a fee.",Ideal for Internet-based businesses with marginal production costs near zero and where network effects exist. It's a good strategy for testing user acceptance of new software or business models.
From Push to Pull,"This model shifts the focus from pushing products onto the market to a demand-driven ""pull"" strategy where customer needs drive company processes (WHAT?, HOW?). This requires a flexible value chain (HOW?). The goal is to produce only what customers actively ask for, reducing inventory costs.","The concept originated in logistics. Toyota (1975) pioneered pull strategies with its Production System, using ""Kanban logistics"" to minimize inventory and respond rapidly to customer needs.","Geberit (2000): Shifted its focus from selling to wholesalers to targeting construction decision-makers directly. Zara (1975): Uses its flexible production model to quickly design and distribute new collections based on trends. Amazon (2007, CreateSpace/KDP): Applied a pull strategy to book publishing, only printing books on demand.",Appropriate for challenging the entire value chain and eliminating waste. Ideal for manufacturing firms with high inventory costs. Success requires willingness to engage customers and high flexibility from suppliers.
Guaranteed Availability,"The company ensures nearly zero downtime of its technical products (WHAT?). This is typically delivered via a Flat Rate (#15) contract covering support, maintenance, and repair (HOW?). Customers value the stability, which helps them minimize downtime costs. The provider leverages its expertise to achieve high availability at lower operational costs (VALUE?).","The philosophy dates back to ancient China. Modern application evolved from fleet management. Rolls-Royce (1980s) pioneered 'power-by-the-hour', selling engine performance per flying hour rather than the engine itself.","IBM (1995): Transformed into a service provider offering integrated solutions for maintaining customers' IT infrastructure. Hilti (2000): Launched Fleet Management for hammer drills, guaranteeing immediate replacement. MachineryLink (2000): Rents agricultural machinery, ensuring availability.","Ideal for industries where the availability of complex products is crucial, especially in B2B. It is a reliable pattern for securing large, long-term contracts and commanding a price premium for minimized risk."
Hidden Revenue,"The business offers a primary product that is free or low-priced (WHAT?), but its main income is generated from a third party (WHO?) that cross-finances the offering (VALUE?). The core logic is the separation of the customer from the revenue stream. A common application is advertising (HOW?).",Dates back to 17th-century bulletins financed by paid classifieds. The concept evolved into modern ad-funded media.,"JCDecaux (1964): Provides public ""street furniture"" to cities for free in exchange for exclusive advertising rights. Metro International (1995): Published free daily newspapers funded entirely by advertising. Google (1998): Provides free services but generates over 90% of its revenue from targeted advertising. Facebook (2004) and TikTok (2017): Rely heavily on tailored advertising.",Suitable for contexts where a company can attract a massive user base with a free offering and commercialize that audience via a third party. Extremely popular in digital contexts for advertising and data trading.
Ingredient Branding,"A supplier brands a product (ingredient) that is a crucial part of another company's final product (HOW?). The ingredient is advertised as a notable feature, creating ""a brand within a brand"". This drives demand from end customers. The goal is a win-win scenario (WHAT?) where the ingredient enhances the final product's desirability.",Used since the mid-20th century. DuPont de Nemours (1802) established its Teflon brand as synonymous with high quality in final products like frying pans.,"W.L. Gore & Associates (Gore) (1958): Successfully branded its Gore-Tex membrane, partnering with numerous textile companies. Intel (1991): Launched ""Intel Inside,"" paying PC manufacturers to advertise its microprocessors. Bosch (2000): Leverages its reputation for quality to be visibly incorporated into final products. Sonos (2019): Provided speakers as an ingredient for IKEA's Symfonisk line.",Ideal for high-quality products that have high brand awareness. It works best when the ingredient is complementary to the final product. It allows the supplier to attract demand without manufacturing the final product itself.
Integrator,"The company controls a majority of the value chain steps (vertical integration), from sourcing raw materials to distribution (HOW?). This reduces dependency on suppliers, improving efficiency and decreasing costs (HOW?, VALUE?). It enables faster reaction times to market changes (VALUE?).",Emerged during industrialization. Carnegie Steel (1870) integrated iron ore mines and a proprietary railway network. Ford (1908) integrated processes like steel production to mass-produce vehicles efficiently.,Exxon Mobil (1999): Operates a highly vertically integrated chain from oil production to distribution. Zara (1975): Owns its production facilities in Europe to quickly design and manufacture new collections. BYD Auto (1995): Controls production of most core car components. Tencent (1998): Integrates the development and promotion of a vast array of online platforms.,Applicable when focusing on the downstream value chain to achieve higher margins. Suitable if the perceived value from integration outweighs the disadvantages of reduced specialization. Useful if customers demand one-stop solutions.
Layer Player,The company specializes by focusing on one or a few select activities within a value chain (HOW?). It applies this specialized expertise across a variety of independent markets (WHAT?). Layer Players benefit from economies of scale and superior efficiency. They often serve Orchestrators (#34) who outsource non-core activities.,"Developed in the 1970s. Early examples include specialized IT outsourcing providers in India, such as Wipro Technologies (1980).",DHL (1969): Focuses solely on delivery and distribution for a multitude of online retailers. Dennemeyer (1962): Specializes entirely in Intellectual Property (IP) management services. TRUSTe (1997): Focuses on data privacy management services. PayPal (1998): Focuses on online payment processing across various industries.,Suitable for companies aiming to maximize specialization and become a leader in their core area. It works if the company can readily transfer specialized skills and knowledge learned in one industry to others.
Leverage Customer Data,"This model centers on using customer data as a profitable resource. The company collects and processes vast data quantities through techniques like data mining and AI (HOW?). The derived knowledge is used internally to optimize offerings or enable targeted advertising, or sold to third parties (HOW?, VALUE?).","Developed starting in the 1980s, driven by advances in information management. Early CRM systems were improved through data from loyalty programs.","Amazon (1994): Analyzes sales data to provide personalized recommendations. Google (1998): Uses its free services to acquire data, generating revenue from targeted advertising. Facebook (2004) and Twitter (2006): Rely entirely on analyzing user data to present personalized ads. 23andMe (2006): Collects genetic data from customers and uses the aggregated data for R&D.","Highly relevant in nearly all industries, especially where digital footprints are available. It is particularly effective when complemented by the Hidden Revenue model (#21). Success depends on navigating data privacy regulations."
Licensing,"The company focuses on developing intellectual property (IP) and then licensing the rights to third parties (HOW?). This generates predictable revenue streams (VALUE?) without the costs of production or marketing (HOW?). License fees are typically lower than outright sales, but the product diffuses more quickly, increasing brand recognition (VALUE?).",Traces back to the Middle Ages. Anheuser-Busch (1870) licensed its name to merchandise manufacturers. Walt Disney (1928) used Licensing extensively for the Mickey Mouse character.,"IBM (1920s): Licenses out its patented technologies, generating around $1.1 billion annually. ARM (1989): Focuses entirely on researching and developing microprocessor designs, licensing them to manufacturers. Carl Zeiss Vision (1995): Licenses its ""freeform technology"" for lens production. FIFA (2006) and UEFA (2008): Grant licenses for broadcasting their events.",Best applied in knowledge- and technology-intensive contexts. It provides an option to monetize products or technologies that are not central to the company’s core business. It is a powerful tool for increasing global distribution and brand awareness.
Lock-In,Customers are confined to a vendor's world of products in a way that makes switching to a competitor incur substantial costs. The vendor eliminates interoperability with the competition (HOW?) to ensure future repeat purchases (VALUE?). Dependencies can be established through technological restrictions or contractual obligations (HOW?).,Legal Lock-In dates back to the Roman Empire. Gillette (1904) used a combination of technology (razor handles only fitting Gillette blades) and patents to lock customers into buying high-margin consumables.,LEGO (1949): Uses a patented system of interlocking parts that are incompatible with competitors' products. Nespresso (1986): Uses proprietary coffee machines and capsules to compel continuous consumable purchases. Apple (1976): Locks users into its ecosystem through a shared operating system and synchronization services.,Highly effective when combined with the Razor and Blade model (#39). Suitable for companies that can protect their after-sales or spare-part businesses through technological means.
Long Tail,The model focuses on selling a massive range of niche products in small quantities (WHAT?). The total revenue from these low-volume sales can equal or exceed that of blockbuster products (VALUE?). Customers benefit from a broad and specialized selection (WHAT?). Success requires keeping the marginal cost of selling niche products low (HOW?).,"Popularized by Chris Anderson in 2006, enabled by the Internet, which removed physical distribution constraints. Amazon (1994) and eBay (1995) were early pioneers.","Netflix (1999): Offers over 100,000 film and TV titles. Grameen Bank (1983): Applied the principle to finance, targeting millions of impoverished people with microfinance. YouTube (2005): Hosts millions of user-uploaded videos, allowing access to a massive variety of content.",Promising if a company can efficiently manage complexity. Highly applicable for specialized or individualized offerings. The ability to successfully manage back-end processes for high product diversity is paramount.
Make More of It,"A company utilizes its internal know-how, core competencies, or surplus resources and offers them externally as a service (WHAT?, HOW?). This monetizes ""slack"" resources and generates additional revenue (VALUE?). The acquired expertise can be reinvested to improve internal processes (HOW?). Providing external services also builds the company's reputation (VALUE?).",Porsche (1931) pioneered this by creating Porsche Engineering Group to contract out its R&D expertise. Sulzer and MTU adopted similar strategies to finance R&D.,"Festo Group (1970): Formalized its internal training systems as Festo Didactic, selling educational products globally. BASF (1998): Uses its Verbund production sites to efficiently use and sell production residuals. Siemens Management Consulting (SMC) (1996): Leverages internal consulting expertise by offering services to external companies.","Applicable when unique core competencies can be leveraged into new market opportunities. Before proceeding, the company must identify which technologies and skills can be successfully transferred."
Mass Customisation,"This model reconciles mass production with individualized customization. It involves customizing products to specific customer needs while maintaining high efficiency (WHAT?, VALUE?). This is achieved through modular product architectures that can be combined in many ways (HOW?). Customers receive bespoke products without a substantial price premium (WHAT?).",Historically struggled with financial feasibility until computer-aided manufacturing in the 1990s enabled efficient modular production. Dell (1984) was one of the first to apply this successfully with customized PCs.,"Premium automotive manufacturers: Offer extensive customizable options. Adidas (2000, Miadidas) and Nike (2000, Nike by you): Allow customers to customize shoes and apparel online. mymuesli (2007): Allows customers to compose their own breakfast cereal.",Addresses the growing demand for personalized products. It can be applied to all industries. Success relies on having robust back-end systems capable of managing the complexity of diverse orders efficiently.
No Frills,"The company drastically trims down the value proposition to its minimum core elements (WHAT?), eliminating superfluous services. The resulting cost savings are passed on to the customer via lower prices (WHAT?). The goal is to attract a massive audience with lower purchasing power (WHO?). Success requires relentless cost minimization (HOW?).",Henry Ford (1908) was a pioneer when he introduced the Model T at half the market price by enforcing large-scale manufacturing and minimal customization.,"Southwest Airlines (1971): Launched the low-cost carrier model, eliminating amenities like meals. Aldi (1913): Reduces prices by limiting selection and store décor. McDonald’s (1948): Radically reduced its menu and introduced self-service. Xiaomi (2010): Sells phones with thin margins exclusively online.","Best suited for markets with cost-conscious customers. It is essential that the company can realize economies of scale through standardization. Highly relevant in emerging markets (frugal products). The motto is: ""Less is more!""."
Open Business,"The company opens its internal value creation processes (like R&D) to external partners (HOW?). This creates a mutually beneficial ecosystem where partners engage in independently gainful activities (VALUE?). The goal is to gain new market shares and improve efficiency by leveraging external resources (HOW?, VALUE?).","Closely linked to Henry Chesbrough’s ""Open Innovation"" concept (2006). Procter & Gamble (P&G) (2000) formalized this with its Connect + Develop program, actively seeking external ideas.","IBM (1995): Reduced development costs by 80% by actively participating in the Linux Open Source system. Valve Corporation (1998): Created an ecosystem around its games, allowing external developers to create modifications. Trumpf (2015): Founded Axoom, an open operating system for Industry 4.0.",Key for future growth in a connected world. Companies must develop an entire ecosystem to create value that none of the partners could achieve alone.
Open Source,"A product's source code is publicly accessible (HOW?) and developed by a public community. The resultant solutions are freely available (WHAT?). Revenue (VALUE?) is generated indirectly, typically through the sale of complementary services like consulting or support (VALUE?).",Originated in the software industry. The Mozilla project (1992) developed the Firefox browser using Open Source principles. Red Hat (1993) pioneered a profitable model by selling service agreements for the Linux OS.,"Wikipedia (2001): Relies on articles edited by a global community, financed by donations. mondoBIOTECH (2000): An Open Source biotech company that screens existing research online to find compounds for rare diseases. The concept also forms the basis for platforms like Hyperledger and Ethereum.",Highly applicable in software design and technology-intensive fields. It allows companies to gain a competitive advantage by setting standards and creating a dedicated user community.
Orchestrator,The company defines its core competencies and outsources virtually all other activities (HOW?). The Orchestrator's core competence lies in coordinating these external partners. This is offset by benefiting from the partners’ specialized skills (VALUE?). Focusing on core strengths increases performance and reduces costs.,"Developed in the 1970s as globalization drove companies to outsource production. Nike (1978) pioneered this by outsourcing 98% of its production to Asia to focus on R&D, design, and marketing.","Airtel (1995): Outsourced major parts of its value chain to focus on core competencies. Li & Fung (1971): Manages a global network of over 10,000 suppliers without owning a single factory. Richelieu (1862): Specializes only in manufacturing food products that are sold by other companies.",Ideal if the company is involved in many steps of the value chain but needs to focus on its key strengths. Outsourcing reduces costs and increases flexibility. Success depends on the ability to actively manage diverse partners.
Pay Per Use,"The customer pays for a product or service based on its actual, metered usage (WHAT?) rather than a fixed rate. The customer is billed based on units used or duration (VALUE?). Customers are attracted by the flexibility and transparency of costs (WHAT?).",Rentals have historically been charged pro rata. The digitalization of media led to concepts like pay-per-view television.,"GoTo (1998): Introduced the pay-per-click model for Internet advertising. Daimler's Car2Go (2008): Introduced car-sharing charged by the minute. Ally Financial (2004): Offers pay-as-you-drive insurance policies. HOMIE (2016): Offers domestic appliances on a ""pay per wash"" basis.","The model’s enormous potential stems from the Internet of Things (IoT), enabling better usage measurement. It suits customers seeking flexibility and cost control. It provides valuable insights into customer behavior."
Pay What You Want,"The customer determines the final price paid for a product (WHAT?), and the vendor commits to accepting it. Social norms discourage customers from consistently exploiting this. Customers benefit from controlling their costs (WHAT?). Vendors benefit from positive press and attracting new customers (VALUE?).",Traditional roots in concepts like tipping. Applied commercially by the restaurant One World Everybody Eats (2003).,"Radiohead (2007): Offered their album In Rainbows for download, letting fans choose the price. Everlane (2011): Allows customers to choose what they pay for select products above production costs. Humble Bundle (2010): Offers media collections where buyers set the price.",This pattern assumes customers understand the product's value and are fundamentally fair. It is applicable in B2C but also seen in B2B. It can be applied to a portion of the total offering.
Peer to Peer,"This model facilitates transactions or cooperation between private individuals (peers) via an intermediary platform (WHAT?). The platform manages transactions safely and efficiently (HOW?), often monetizing this via fees or advertising (VALUE?). Customers benefit from accessing private products and the social aspects of the network (WHAT?).","Originated in computer networking. Driven by the Internet and ""collaborative consumption"". eBay (1995) pioneered the concept by allowing individuals to auction personal items.",Craigslist (1996): Created an online classifieds network for local services. friendsurance.com (2008): Applies P2P to insurance by connecting social networks. Uber (2009): Connects passengers with independent drivers. Airbnb (2008): Provides a platform for individuals to rent their private living space.,Most effective in online communities. It is vital to determine the right incentives to attract users quickly. The platform must establish a trusted image to overcome user reservations.
Performance-Based Contracting,"Pricing is determined by the performance results a product delivers (quantifiable output), rather than its purchase price (WHAT?, VALUE?). The price usually includes all related costs, giving customers predictable costs (WHAT?). The provider is often deeply integrated into the customer's value creation process (HOW?).","Derived from public sector infrastructure policies (mid-20th century). Rolls-Royce (1980s) pioneered industrial application with 'power-by-the-hour', retaining ownership of engines and charging airlines per flying hour.","BASF Coatings (1990s): Introduced ""cost per unit"" models for vehicle coatings, charging per module coated. Xerox (2202): Retains ownership of photocopiers and charges customers per page printed. Philips (Lighting): Takes over all aspects of illumination management, funded by the resulting energy efficiency.",Suitable for monetizing complex products and services where application or maintenance is challenging. It attracts customers who want to avoid upfront costs and desire cost transparency.
Razor and Blade,"Also known as ""bait and hook,"" this model sells a basic product cheaply (""bait"") (WHAT?) to lower entry barriers. Revenue is generated through the mandatory purchase of high-priced accessories or consumables (""blades"") (VALUE?). To protect this revenue stream, the company must create exit barriers (Lock-In #27) (HOW?).","John D. Rockefeller (1870s) sold cheap lamps but required expensive fuel. The term stems from King Camp Gillette (1904), who gifted razor handles to drive sales of high-margin disposable blades.","Hewlett-Packard (HP) (1984): Adapted the model with cheap inkjet printers and expensive ink cartridges. Nespresso (1986): Uses inexpensive coffee machines and costly coffee capsules. Game console industry (Sony, Microsoft): Sells consoles near cost to profit from high-margin game sales.",Widely used in B2C and increasingly relevant in B2B. It is most powerful when combined with Lock-In effects (#27) and strong branding or patenting capabilities.
